"variable","countyfips","year","value"
"JOBSI0C","3","1990",6385.227825
"JOBSI0C","7","1990",2371.359023
"JOBSI0C","9","1990",1928.973492
"JOBSI0C","11","1990",1998.140416
"JOBSI0C","15","1990",5287.663481
"JOBSI0C","17","1990",1052.192035
"JOBSI0C","19","1990",2656.704747
"JOBSI0C","21","1990",2173.110603
"JOBSI0C","23","1990",1102.524709
"JOBSI0C","25","1990",1096.394541
"JOBSI0C","27","1990",605.5272268
"JOBSI0C","29","1990",7111.4068
"JOBSI0C","33","1990",640.257993
"JOBSI0C","37","1990",17488.5261
"JOBSI0C","39","1990",2511.544141
"JOBSI0C","41","1990",209487.818
"JOBSI0C","43","1990",11095.82108
"JOBSI0C","45","1990",15497.20381
"JOBSI0C","47","1990",652.9564096
"JOBSI0C","49","1990",5442.723548
"JOBSI0C","51","1990",6195.436363
"JOBSI0C","53","1990",217.3478056
"JOBSI0C","55","1990",1792.171175
"JOBSI0C","57","1990",776.9541368
"JOBSI0C","61","1990",775.3217728
"JOBSI0C","63","1990",3840.044231
"JOBSI0C","65","1990",2253.55196
"JOBSI0C","67","1990",17228.02046
"JOBSI0C","69","1990",92777.81969
"JOBSI0C","71","1990",4966.147699
"JOBSI0C","73","1990",2319.607133
"JOBSI0C","75","1990",8785.537748
"JOBSI0C","77","1990",44064.75276
"JOBSI0C","79","1990",331.1256889
"JOBSI0C","81","1990",5368.847581
"JOBSI0C","83","1990",8240.778243
"JOBSI0C","85","1990",11513.79323
"JOBSI0C","87","1990",10755.44171
"JOBSI0C","89","1990",8263.687161
"JOBSI0C","91","1990",1117.214195
"JOBSI0C","93","1990",1612.183091
"JOBSI0C","95","1990",1806.540919
"JOBSI0C","97","1990",15633.11645
"JOBSI0C","99","1990",6186.446683
"JOBSI0C","101","1990",50931.38741
"JOBSI0C","103","1990",3156.095263
"JOBSI0C","105","1990",4375.465777
"JOBSI0C","107","1990",10706.56407
"JOBSI0C","109","1990",2114.961581
"JOBSI0C","111","1990",503.5497284
"JOBSI0C","113","1990",2960.437846
"JOBSI0C","115","1990",1181.229182
"JOBSI0C","117","1990",13274.23964
"JOBSI0C","119","1990",3441.892363
"JOBSI0C","121","1990",2462.800389
"JOBSI0C","123","1990",60462.23265
"JOBSI0C","125","1990",4569.964915
"JOBSI0C","500","1990",1125334.998
"JOBSI0C","3","1991",6379.929161
"JOBSI0C","7","1991",2486.162348
"JOBSI0C","9","1991",1909.331614
"JOBSI0C","11","1991",1919.889849
"JOBSI0C","15","1991",5574.160826
"JOBSI0C","17","1991",1065.195751
"JOBSI0C","19","1991",2698.501052
"JOBSI0C","21","1991",2172.879493
"JOBSI0C","23","1991",1140.650734
"JOBSI0C","25","1991",1027.004578
"JOBSI0C","27","1991",667.9329929
"JOBSI0C","29","1991",7258.267012
"JOBSI0C","33","1991",618.7274574
"JOBSI0C","37","1991",18173.6494
"JOBSI0C","39","1991",2575.825841
"JOBSI0C","41","1991",214081.1687
"JOBSI0C","43","1991",11096.83719
"JOBSI0C","45","1991",15682.93081
"JOBSI0C","47","1991",993.5518679
"JOBSI0C","49","1991",5662.406468
"JOBSI0C","51","1991",6241.350413
"JOBSI0C","53","1991",257.1211613
"JOBSI0C","55","1991",1771.734026
"JOBSI0C","57","1991",731.8343125
"JOBSI0C","61","1991",746.2185961
"JOBSI0C","63","1991",3671.297846
"JOBSI0C","65","1991",2337.501396
"JOBSI0C","67","1991",18308.4971
"JOBSI0C","69","1991",96979.84408
"JOBSI0C","71","1991",4967.523542
"JOBSI0C","73","1991",2499.10014
"JOBSI0C","75","1991",8398.638412
"JOBSI0C","77","1991",45133.32308
"JOBSI0C","79","1991",358.6171488
"JOBSI0C","81","1991",5344.952243
"JOBSI0C","83","1991",8353.063953
"JOBSI0C","85","1991",11582.75396
