"variable","countyfips","year","value"
"LFRESC","3","1990",6165.70944085341
"LFRESC","7","1990",2433.96515753168
"LFRESC","9","1990",1745.60306505319
"LFRESC","11","1990",1576.57016548917
"LFRESC","15","1990",5177.49245473708
"LFRESC","17","1990",1064.83330456845
"LFRESC","19","1990",4231.94079470595
"LFRESC","21","1990",2970.99009105775
"LFRESC","23","1990",1343.90632563412
"LFRESC","25","1990",1375.55835288998
"LFRESC","27","1990",876.433984449389
"LFRESC","29","1990",8113.45158714087
"LFRESC","33","1990",621.657710899089
"LFRESC","37","1990",13207.6907219777
"LFRESC","39","1990",5228.49171086898
"LFRESC","41","1990",216479.354999859
"LFRESC","43","1990",13050.5245903218
"LFRESC","45","1990",15384.1238096488
"LFRESC","47","1990",1834.41717194496
"LFRESC","49","1990",4687.9075669393
"LFRESC","51","1990",6250.23215962805
"LFRESC","53","1990",310.680884184549
"LFRESC","55","1990",2406.34336637492
"LFRESC","57","1990",800.140010947133
"LFRESC","61","1990",693.47886799437
"LFRESC","63","1990",3184.02369710955
"LFRESC","65","1990",2739.2007647071
"LFRESC","67","1990",18504.4785408568
"LFRESC","69","1990",103410.792318658
"LFRESC","71","1990",5533.72091008338
"LFRESC","73","1990",3043.1134735759
"LFRESC","75","1990",8544.19337257759
"LFRESC","77","1990",44661.9234903177
"LFRESC","79","1990",283.168125960484
"LFRESC","81","1990",5268.51405968071
"LFRESC","83","1990",7936.43109965414
"LFRESC","85","1990",11323.6450842961
"LFRESC","87","1990",10438.6546525806
"LFRESC","89","1990",8147.29710597756
"LFRESC","91","1990",1092.26320443339
"LFRESC","93","1990",4283.28453132601
"LFRESC","95","1990",1846.06821945436
"LFRESC","97","1990",9332.47504143164
"LFRESC","99","1990",5302.03449622425
"LFRESC","101","1990",52244.4310932056
"LFRESC","103","1990",2953.57975994877
"LFRESC","105","1990",4621.19450345234
"LFRESC","107","1990",9019.24606690545
"LFRESC","109","1990",2033.11758399296
"LFRESC","111","1990",395.907429954442
"LFRESC","113","1990",2357.25198226688
"LFRESC","115","1990",1179.01301001258
"LFRESC","117","1990",8347.85617776822
"LFRESC","119","1990",7041.21179170283
"LFRESC","121","1990",2214.32479436593
"LFRESC","123","1990",66906.0328855119
"LFRESC","125","1990",4128.14475876881
"LFRESC","500","1990",1061207.44614258
"LFRESC","3","1991",6164.97194535128
"LFRESC","7","1991",2578.1429976901
"LFRESC","9","1991",1713.44220219394
"LFRESC","11","1991",1577.83998559832
"LFRESC","15","1991",5277.70163419514
"LFRESC","17","1991",1099.94948677052
"LFRESC","19","1991",4269.01685989693
"LFRESC","21","1991",3007.26579484712
"LFRESC","23","1991",1374.44393321314
"LFRESC","25","1991",1424.77377133048
"LFRESC","27","1991",913.324006587225
"LFRESC","29","1991",8228.57674833744
"LFRESC","33","1991",604.787314518104
"LFRESC","37","1991",13997.869054094
"LFRESC","39","1991",5517.10212581166
"LFRESC","41","1991",221201.395941708
"LFRESC","43","1991",13466.7378449095
"LFRESC","45","1991",15960.9095662513
"LFRESC","47","1991",1855.49441061463
"LFRESC","49","1991",4929.78310300783
"LFRESC","51","1991",6344.3978826715
"LFRESC","53","1991",302.405513215688
"LFRESC","55","1991",2488.57887643214
"LFRESC","57","1991",770.087572851015
"LFRESC","61","1991",695.868827652771
"LFRESC","63","1991",3221.50162078649
"LFRESC","65","1991",2813.88647625619
"LFRESC","67","1991",19109.2757516639
"LFRESC","69","1991",107235.357103057
"LFRESC","71","1991",5609.93431003211
"LFRESC","73","1991",3145.70139550833
"LFRESC","75","1991",8588.61237984649
"LFRESC","77","1991",45971.2467978757
"LFRESC","79","1991",287.644137377433
"LFRESC","81","1991",5327.55830667855
"LFRESC","83","1991",8171.06507614676
"LFRESC","85","1991",11710.5456164192
"LFRESC","87","1991",10750.9067280477
"LFRESC","89","1991",8299.28367066651
"LFRESC","91","1991",1153.22243422908
"LFRESC","93","1991",4564.9543872281
"LFRESC","95","1991",1851.50967565018
"LFRESC","97","1991",9470.53252082764
"LFRESC","99","1991",5225.55359112665
"LFRESC","101","1991",52771.7820494506
"LFRESC","103","1991",2941.53322695305
"LFRESC","105","1991",4653.66473444331
"LFRESC","107","1991",9402.26522716343
"LFRESC","109","1991",2084.22604549107
"LFRESC","111","1991",384.614970969672
"LFRESC","113","1991",2639.51606920357
"LFRESC","115","1991",1172.50315003968
"LFRESC","117","1991",8688.70917778803
"LFRESC","119","1991",7200.22813161426
"LFRESC","121","1991",2198.85057335468
"LFRESC","123","1991",68611.9964551331
"LFRESC","125","1991",4158.02320726001
"LFRESC","500","1991",1083841.24277712
"LFRESC","3","1992",6116.78589864561
"LFRESC","7","1992",2713.19645955093
"LFRESC","9","1992",1667.14888943095
"LFRESC","11","1992",1633.75852568478
"LFRESC","15","1992",5425.33250172426
"LFRESC","17","1992",1060.63177207549
"LFRESC","19","1992",4393.22471544195
"LFRESC","21","1992",3011.03760319856
"LFRESC","23","1992",1346.83053725047
"LFRESC","25","1992",1519.39762820258
"LFRESC","27","1992",979.231798233719
"LFRESC","29","1992",8563.76729767028
"LFRESC","33","1992",597.406313549849
"LFRESC","37","1992",14885.4039971573
"LFRESC","39","1992",5803.06985301001
"LFRESC","41","1992",230512.130124443
"LFRESC","43","1992",14538.0598587225
"LFRESC","45","1992",16021.4776841014
"LFRESC","47","1992",1966.65336401112
"LFRESC","49","1992",5068.8065163292
"LFRESC","51","1992",6553.63472405891
"LFRESC","53","1992",340.549249172239
"LFRESC","55","1992",2592.10271803232
"LFRESC","57","1992",778.36583456966
"LFRESC","61","1992",709.324145509255
"LFRESC","63","1992",3268.51383532626
"LFRESC","65","1992",2871.28235841002
"LFRESC","67","1992",19715.3280841025
"LFRESC","69","1992",110960.612730419
"LFRESC","71","1992",5759.267475637
"LFRESC","73","1992",3165.51063467919
"LFRESC","75","1992",8642.50366937113
"LFRESC","77","1992",46734.9446134841
"LFRESC","79","1992",298.095374403033
"LFRESC","81","1992",5453.05940481785
"LFRESC","83","1992",8497.28352981259
"LFRESC","85","1992",12192.5974532018
"LFRESC","87","1992",11099.5654985766
"LFRESC","89","1992",8341.43746901291
"LFRESC","91","1992",1211.66616138847
"LFRESC","93","1992",4824.73931388523
"LFRESC","95","1992",1855.74194672173
"LFRESC","97","1992",9694.06074210909
"LFRESC","99","1992",5324.8342010215
"LFRESC","101","1992",53463.2790961718
"LFRESC","103","1992",3012.32733397072
"LFRESC","105","1992",4712.01332060675
"LFRESC","107","1992",9659.32368082502
"LFRESC","109","1992",2114.80026197121
"LFRESC","111","1992",312.974971553644
"LFRESC","113","1992",2930.82201491616
"LFRESC","115","1992",1157.81746070521
"LFRESC","117","1992",8908.12364287883
"LFRESC","119","1992",7773.54294333198
"LFRESC","121","1992",2239.20652260877
"LFRESC","123","1992",70770.2733256703
"LFRESC","125","1992",4146.90710532102
"LFRESC","500","1992",1118171.35376984
"LFRESC","3","1993",6187.34476492921
"LFRESC","7","1993",2888.59756817805
"LFRESC","9","1993",1687.89176621823
"LFRESC","11","1993",1603.57135523617
"LFRESC","15","1993",5621.45064481713
"LFRESC","17","1993",1019.42211191179
"LFRESC","19","1993",4523.61485079806
"LFRESC","21","1993",3074.60194626816
"LFRESC","23","1993",1421.85245431719
"LFRESC","25","1993",1561.35538472226
"LFRESC","27","1993",1075.78867293409
"LFRESC","29","1993",9294.15177441969
"LFRESC","33","1993",614.706602834754
"LFRESC","37","1993",16039.1450692318
"LFRESC","39","1993",6249.61770127122
"LFRESC","41","1993",239024.470541697
"LFRESC","43","1993",15525.3657652292
"LFRESC","45","1993",16712.6312651529
"LFRESC","47","1993",2068.29002138311
"LFRESC","49","1993",5284.96542968516
"LFRESC","51","1993",6877.70783863256
"LFRESC","53","1993",374.771201168205
"LFRESC","55","1993",2757.68451526593
"LFRESC","57","1993",805.77328917
"LFRESC","61","1993",717.256103264073
"LFRESC","63","1993",3309.11315770809
"LFRESC","65","1993",2929.73818973458
"LFRESC","67","1993",20481.9315489221
"LFRESC","69","1993",115601.515835364
"LFRESC","71","1993",5893.98397003425
"LFRESC","73","1993",2989.4244058985
"LFRESC","75","1993",8893.62405414714
"LFRESC","77","1993",48183.9110194216
"LFRESC","79","1993",302.507858302704
"LFRESC","81","1993",5533.1259147595
"LFRESC","83","1993",9013.62744520092
"LFRESC","85","1993",12767.7219560915
"LFRESC","87","1993",11493.6917239279
"LFRESC","89","1993",8489.6641602811
"LFRESC","91","1993",1281.25185591655
"LFRESC","93","1993",5145.25477849625
"LFRESC","95","1993",1925.72525230904
"LFRESC","97","1993",10153.3692518218
"LFRESC","99","1993",5497.73133925417
"LFRESC","101","1993",54741.664324686
"LFRESC","103","1993",2998.03482044103
"LFRESC","105","1993",4852.8354738868
"LFRESC","107","1993",10190.6330528006
"LFRESC","109","1993",2158.23258008287
"LFRESC","111","1993",303.780390232398
"LFRESC","113","1993",3132.3345997453
"LFRESC","115","1993",1170.92287280433
"LFRESC","117","1993",9810.88099271315
"LFRESC","119","1993",8438.42940118594
"LFRESC","121","1993",2368.68887155552
"LFRESC","123","1993",73644.7236135628
"LFRESC","125","1993",4231.97706874221
"LFRESC","500","1993",1152722.96147248
"LFRESC","3","1994",6418.06426442596
"LFRESC","7","1994",3092.00831257299
"LFRESC","9","1994",1723.16571985374
"LFRESC","11","1994",1601.96079851188
"LFRESC","15","1994",6032.06585551375
"LFRESC","17","1994",1018.45535053619
"LFRESC","19","1994",4789.56878040909
"LFRESC","21","1994",3125.23226253906
"LFRESC","23","1994",1455.08671738935
"LFRESC","25","1994",1588.79935720409
"LFRESC","27","1994",1132.32758473284
"LFRESC","29","1994",9776.59166198728
"LFRESC","33","1994",652.742326481761
"LFRESC","37","1994",17366.9723452197
"LFRESC","39","1994",6985.09316836356
"LFRESC","41","1994",250265.511167432
"LFRESC","43","1994",16143.571406631
"LFRESC","45","1994",17777.8321561704
"LFRESC","47","1994",2153.73882811399
"LFRESC","49","1994",5547.31543183036
"LFRESC","51","1994",7098.03220730329
"LFRESC","53","1994",417.533153460169
"LFRESC","55","1994",3033.09950112452
"LFRESC","57","1994",808.187163147431
"LFRESC","61","1994",724.493717532077
"LFRESC","63","1994",3359.98699020785
"LFRESC","65","1994",3009.73914401681
"LFRESC","67","1994",21232.9971973747
"LFRESC","69","1994",120875.529883834
"LFRESC","71","1994",6186.17137949083
"LFRESC","73","1994",2858.47594379425
"LFRESC","75","1994",9366.05354528686
"LFRESC","77","1994",49883.5303710724
"LFRESC","79","1994",320.325361763917
"LFRESC","81","1994",5658.52187502844
"LFRESC","83","1994",9430.08767573488
"LFRESC","85","1994",13414.1791849323
"LFRESC","87","1994",11907.5735978416
"LFRESC","89","1994",8600.69471324682
"LFRESC","91","1994",1411.09172567029
"LFRESC","93","1994",5753.79997706918
"LFRESC","95","1994",1936.1697511468
"LFRESC","97","1994",10452.344421864
"LFRESC","99","1994",5652.16056030481
"LFRESC","101","1994",56158.7001681987
"LFRESC","103","1994",3028.15594422457
"LFRESC","105","1994",4972.82456408146
"LFRESC","107","1994",10655.8056738864
"LFRESC","109","1994",2226.02686838543
"LFRESC","111","1994",319.770711223181
"LFRESC","113","1994",3430.38277788622
"LFRESC","115","1994",1186.77474189087
"LFRESC","117","1994",11046.9947396956
"LFRESC","119","1994",9105.16957275256
"LFRESC","121","1994",2412.16203480265
"LFRESC","123","1994",76498.4408981391
"LFRESC","125","1994",4294.57220030948
"LFRESC","500","1994",1177606.47946727
"LFRESC","3","1995",6340.65102329967
"LFRESC","7","1995",3395.15320031632
"LFRESC","9","1995",1741.68066845121
"LFRESC","11","1995",1669.32904574039
"LFRESC","15","1995",6402.42434916821
"LFRESC","17","1995",1007.0327504646
"LFRESC","19","1995",4951.26986519832
"LFRESC","21","1995",3202.1324330516
"LFRESC","23","1995",1515.5032824029
"LFRESC","25","1995",1672.03765106834
"LFRESC","27","1995",1230.27484558964
"LFRESC","29","1995",10249.7235354414
"LFRESC","33","1995",688.325595882432
"LFRESC","37","1995",18491.7602552275
"LFRESC","39","1995",7829.49472758237
"LFRESC","41","1995",257727.360299036
"LFRESC","43","1995",16515.9188184211
"LFRESC","45","1995",18781.4160526464
"LFRESC","47","1995",2267.66096665898
"LFRESC","49","1995",5932.29601984844
"LFRESC","51","1995",7305.86560363688
"LFRESC","53","1995",444.557118307503
"LFRESC","55","1995",3201.18508278844
"LFRESC","57","1995",784.0288393082
"LFRESC","61","1995",712.267132569501
"LFRESC","63","1995",3421.47000735179
"LFRESC","65","1995",3380.42088117566
"LFRESC","67","1995",22455.6380858456
"LFRESC","69","1995",125080.173017305
"LFRESC","71","1995",6312.69357972608
"LFRESC","73","1995",3026.28025320404
"LFRESC","75","1995",9658.668580674
"LFRESC","77","1995",51129.1217948711
"LFRESC","79","1995",338.126671689238
"LFRESC","81","1995",5766.47448049594
"LFRESC","83","1995",9852.25137689361
"LFRESC","85","1995",14015.2295826602
"LFRESC","87","1995",12017.6921602959
"LFRESC","89","1995",8769.68312557887
"LFRESC","91","1995",1512.29056748763
"LFRESC","93","1995",6425.3389239448
"LFRESC","95","1995",1972.42903718024
"LFRESC","97","1995",10479.7045942132
"LFRESC","99","1995",5752.33852311387
"LFRESC","101","1995",57396.1527701154
"LFRESC","103","1995",3076.87979761912
"LFRESC","105","1995",5090.12575284841
"LFRESC","107","1995",11067.8985202769
"LFRESC","109","1995",2383.48331700573
"LFRESC","111","1995",324.357539907729
"LFRESC","113","1995",3573.45297424561
"LFRESC","115","1995",1180.92157464656
"LFRESC","117","1995",11799.5305497005
"LFRESC","119","1995",9839.03830585267
"LFRESC","121","1995",2414.3197370872
"LFRESC","123","1995",79301.5286161477
"LFRESC","125","1995",4380.42973263159
"LFRESC","500","1995",1200682.88800017
"LFRESC","3","1996",6527.48329539777
"LFRESC","7","1996",3819.60464267639
"LFRESC","9","1996",1788.0283812283
"LFRESC","11","1996",1566.89613808578
"LFRESC","15","1996",6680.89190375288
"LFRESC","17","1996",1015.41323823327
"LFRESC","19","1996",4983.09091926342
"LFRESC","21","1996",3237.37431014865
"LFRESC","23","1996",1552.97121033299
"LFRESC","25","1996",1688.03408501084
"LFRESC","27","1996",1352.89645021645
"LFRESC","29","1996",10482.6578758064
"LFRESC","33","1996",723.525083520874
"LFRESC","37","1996",19716.415381667
"LFRESC","39","1996",8667.61444728837
"LFRESC","41","1996",262554.587617816
"LFRESC","43","1996",15066.8374857303
"LFRESC","45","1996",19445.192055479
"LFRESC","47","1996",2361.47999011895
"LFRESC","49","1996",6279.19786602745
"LFRESC","51","1996",7494.47037313071
"LFRESC","53","1996",480.065383615726
"LFRESC","55","1996",3367.13351759401
"LFRESC","57","1996",778.823947445203
"LFRESC","61","1996",727.016843913341
"LFRESC","63","1996",3469.8096569714
"LFRESC","65","1996",3593.13701384158
"LFRESC","67","1996",22990.732842685
"LFRESC","69","1996",128635.463187891
"LFRESC","71","1996",6411.62486665805
"LFRESC","73","1996",2350.60612025895
"LFRESC","75","1996",9791.15934310051
"LFRESC","77","1996",52333.2052734649
"LFRESC","79","1996",357.318809952917
"LFRESC","81","1996",5826.61531807527
"LFRESC","83","1996",10153.7233712957
"LFRESC","85","1996",14450.1934711404
"LFRESC","87","1996",12345.2757202462
"LFRESC","89","1996",8862.48506538114
"LFRESC","91","1996",1599.97805202655
"LFRESC","93","1996",6942.72162560979
"LFRESC","95","1996",1984.56505881193
"LFRESC","97","1996",10350.3517429914
"LFRESC","99","1996",5845.68182948614
"LFRESC","101","1996",58246.0853969293
"LFRESC","103","1996",3051.40677159274
"LFRESC","105","1996",5155.37994446513
"LFRESC","107","1996",11383.1491818452
"LFRESC","109","1996",2464.58083729129
"LFRESC","111","1996",333.79911665093
"LFRESC","113","1996",3793.11460452409
"LFRESC","115","1996",1201.75131890965
"LFRESC","117","1996",12513.2336775135
"LFRESC","119","1996",10559.38044354
"LFRESC","121","1996",2406.20999689635
"LFRESC","123","1996",81487.4067090807
"LFRESC","125","1996",4413.80224804695
"LFRESC","500","1996",1227360.39918021
"LFRESC","3","1997",6593.20535835796
"LFRESC","7","1997",4155.79721697416
"LFRESC","9","1997",1811.64340375421
"LFRESC","11","1997",1597.56478601456
"LFRESC","15","1997",6886.86042440911
"LFRESC","17","1997",1018.03530203265
"LFRESC","19","1997",5110.49770631471
"LFRESC","21","1997",3274.9675014428
"LFRESC","23","1997",1591.68961567625
"LFRESC","25","1997",1742.00293234205
"LFRESC","27","1997",1466.90482224124
"LFRESC","29","1997",10708.7132169344
"LFRESC","33","1997",749.520494387178
"LFRESC","37","1997",21060.3916445219
"LFRESC","39","1997",9367.83695778316
"LFRESC","41","1997",268481.709168333
"LFRESC","43","1997",15409.8753213963
"LFRESC","45","1997",20110.0267411507
"LFRESC","47","1997",2532.58022716714
"LFRESC","49","1997",6577.76006495585
"LFRESC","51","1997",7626.75523657631
"LFRESC","53","1997",505.725760318193
"LFRESC","55","1997",3573.10824081043
"LFRESC","57","1997",779.069488835914
"LFRESC","61","1997",734.456937168629
"LFRESC","63","1997",3540.03733783654
"LFRESC","65","1997",3772.96231588416
"LFRESC","67","1997",23443.2292352547
"LFRESC","69","1997",132386.446350911
"LFRESC","71","1997",6513.05325612551
"LFRESC","73","1997",2387.58550572353
"LFRESC","75","1997",10006.8627883493
"LFRESC","77","1997",53637.5677479756
"LFRESC","79","1997",369.443486224455
"LFRESC","81","1997",5975.32988973216
"LFRESC","83","1997",10400.7186100917
"LFRESC","85","1997",14873.8982320967
"LFRESC","87","1997",12633.2709152896
"LFRESC","89","1997",8939.53344010686
"LFRESC","91","1997",1649.01684970842
"LFRESC","93","1997",7592.18403988313
"LFRESC","95","1997",2013.79589588391
"LFRESC","97","1997",10456.6997513423
"LFRESC","99","1997",5934.31389825405
"LFRESC","101","1997",59604.1350911344
"LFRESC","103","1997",3045.39502889134
"LFRESC","105","1997",5223.64077718
"LFRESC","107","1997",11656.4536735607
"LFRESC","109","1997",2509.27165578135
"LFRESC","111","1997",327.035505051615
"LFRESC","113","1997",3909.78709822172
"LFRESC","115","1997",1219.65725065852
"LFRESC","117","1997",13120.8056325365
"LFRESC","119","1997",11163.7969311518
"LFRESC","121","1997",2398.71529219333
"LFRESC","123","1997",84020.7562355516
"LFRESC","125","1997",4476.37428746026
"LFRESC","500","1997",1254049.05436004
"LFRESC","3","1998",6669.31990643936
"LFRESC","7","1998",4493.22172621851
"LFRESC","9","1998",1811.10331811276
"LFRESC","11","1998",1755.94375239465
"LFRESC","15","1998",7027.17380816958
"LFRESC","17","1998",1046.52812260522
"LFRESC","19","1998",5204.3502043943
"LFRESC","21","1998",3326.65748580935
"LFRESC","23","1998",1622.40575238102
"LFRESC","25","1998",1757.99792150942
"LFRESC","27","1998",1544.90055765694
"LFRESC","29","1998",11177.6230496681
"LFRESC","33","1998",798.925103983685
"LFRESC","37","1998",22540.6163231125
"LFRESC","39","1998",10012.8084286205
"LFRESC","41","1998",275606.463987497
"LFRESC","43","1998",16223.2758708438
"LFRESC","45","1998",21391.9253038606
"LFRESC","47","1998",2679.57599105375
"LFRESC","49","1998",6874.22481271086
"LFRESC","51","1998",8285.57283744188
"LFRESC","53","1998",533.452788583265
"LFRESC","55","1998",3702.65953052447
"LFRESC","57","1998",769.813643933557
"LFRESC","61","1998",731.158116294597
"LFRESC","63","1998",3628.30510306332
"LFRESC","65","1998",3809.74692076359
"LFRESC","67","1998",24078.8559482756
"LFRESC","69","1998",136973.109229982
"LFRESC","71","1998",6594.41378442319
"LFRESC","73","1998",2446.34270333826
"LFRESC","75","1998",10056.6271173039
"LFRESC","77","1998",55184.4843776287
"LFRESC","79","1998",381.332620512422
"LFRESC","81","1998",6115.1805022635
"LFRESC","83","1998",10564.3245600989
"LFRESC","85","1998",15274.9003184303
"LFRESC","87","1998",12649.8738248422
"LFRESC","89","1998",8931.66052008899
"LFRESC","91","1998",1723.40418087262
"LFRESC","93","1998",8085.76803171788
"LFRESC","95","1998",2020.97068664012
"LFRESC","97","1998",10430.0073358294
"LFRESC","99","1998",6032.47207302598
"LFRESC","101","1998",61188.7948488391
"LFRESC","103","1998",3009.64957767954
"LFRESC","105","1998",5310.78406179177
"LFRESC","107","1998",12011.5139131548
"LFRESC","109","1998",2553.60427421202
"LFRESC","111","1998",324.843942723674
"LFRESC","113","1998",4267.53491897508
"LFRESC","115","1998",1204.9561432988
"LFRESC","117","1998",13738.9876407163
"LFRESC","119","1998",11613.3175615506
"LFRESC","121","1998",2386.14536248809
"LFRESC","123","1998",86825.6093434864
"LFRESC","125","1998",4550.20262186126
"LFRESC","500","1998",1287574.42377951
"LFRESC","3","1999",6755.60991395351
"LFRESC","7","1999",4763.40143800154
"LFRESC","9","1999",1808.8433173663
"LFRESC","11","1999",1789.25547477373
"LFRESC","15","1999",7308.95187312411
"LFRESC","17","1999",1019.56380029707
"LFRESC","19","1999",5351.37734566453
"LFRESC","21","1999",3373.16540537348
"LFRESC","23","1999",1625.97587979403
"LFRESC","25","1999",1519.06718231534
"LFRESC","27","1999",1653.6576775527
"LFRESC","29","1999",11542.8433933177
"LFRESC","33","1999",827.256805370252
"LFRESC","37","1999",23935.3034086392
"LFRESC","39","1999",10637.9802665315
"LFRESC","41","1999",282286.424813375
"LFRESC","43","1999",17238.4858720374
"LFRESC","45","1999",22159.1702623682
"LFRESC","47","1999",2881.46898791997
"LFRESC","49","1999",7256.3301188756
"LFRESC","51","1999",8502.72343662724
"LFRESC","53","1999",540.962773655943
"LFRESC","55","1999",3802.70543715951
"LFRESC","57","1999",770.224156542852
"LFRESC","61","1999",740.264949765422
"LFRESC","63","1999",3104.38111426362
"LFRESC","65","1999",3835.30686758315
"LFRESC","67","1999",25129.7896534312
"LFRESC","69","1999",141756.761616222
"LFRESC","71","1999",6691.09163827573
"LFRESC","73","1999",2487.24726741967
"LFRESC","75","1999",9148.45332811692
"LFRESC","77","1999",56468.2933397428
"LFRESC","79","1999",405.574468738131
"LFRESC","81","1999",6235.67529404266
"LFRESC","83","1999",10836.8851071199
"LFRESC","85","1999",15789.5531432112
"LFRESC","87","1999",12811.9846794966
"LFRESC","89","1999",8964.79175811512
"LFRESC","91","1999",1824.17570760648
"LFRESC","93","1999",8652.02537032839
"LFRESC","95","1999",1992.2686649821
"LFRESC","97","1999",10407.9885490177
"LFRESC","99","1999",6148.80632879447
"LFRESC","101","1999",62512.4606202569
"LFRESC","103","1999",2944.51397881845
"LFRESC","105","1999",5398.9328191644
"LFRESC","107","1999",12452.905437147
"LFRESC","109","1999",2665.26986357093
"LFRESC","111","1999",330.365990300088
"LFRESC","113","1999",4351.48031012964
"LFRESC","115","1999",1228.92465207173
"LFRESC","117","1999",14581.1697711117
"LFRESC","119","1999",11978.7562192661
"LFRESC","121","1999",2323.76777795399
"LFRESC","123","1999",89330.1497435301
"LFRESC","125","1999",4571.97942131008
